2010-05-20 12:48:20 Notice: Notice (8): Undefined property: PostsController::$UserMst in [/var/www/staple/app/app_controller.php, line 70]
2010-05-20 12:52:58 Notice: Notice (8): Undefined property: PostsController::$UserMst in [/var/www/staple/app/app_controller.php, line 71]
2010-05-20 12:53:56 Notice: Notice (8): Undefined property: View::$Session in [/usr/share/php/cake/libs/view/layouts/default.ctp, line 43]
2010-05-20 12:54:15 Notice: Notice (8): Undefined property: View::$Session in [/usr/share/php/cake/libs/view/layouts/default.ctp, line 43]
2010-05-20 12:54:35 Notice: Notice (8): Undefined property: View::$Session in [/usr/share/php/cake/libs/view/layouts/default.ctp, line 43]
2010-05-20 12:54:56 Notice: Notice (8): Undefined property: View::$Session in [/usr/share/php/cake/libs/view/layouts/default.ctp, line 43]
2010-05-31 17:47:32 Notice: Notice (8): Undefined index:  limit in [/usr/share/php/cake/libs/view/helpers/paginator.php, line 546]
2010-05-31 17:47:32 Notice: Notice (8): Undefined index:  limit in [/usr/share/php/cake/libs/view/helpers/paginator.php, line 548]
2010-05-31 17:50:17 Notice: Notice (8): Undefined index:  created in [/var/www/household/app/views/main/index.ctp, line 4]
2010-05-31 18:10:17 Notice: Notice (8): Undefined index:  created in [/var/www/household/app/views/main/index.ctp, line 4]
2010-05-31 18:45:05 Notice: Notice (8): Undefined index:  created in [/var/www/household/app/views/main/index.ctp, line 4]
2010-05-31 18:45:16 Notice: Notice (8): Undefined index:  created in [/var/www/household/app/views/main/index.ctp, line 4]
2010-05-31 18:47:12 Notice: Notice (8): Undefined property: MainController::$paginator in [/var/www/household/app/controllers/main_controller.php, line 20]
2010-05-31 18:54:27 Notice: Notice (8): Undefined index:  limit in [/usr/share/php/cake/libs/view/helpers/paginator.php, line 557]
2010-05-31 18:54:27 Notice: Notice (8): Undefined index:  limit in [/usr/share/php/cake/libs/view/helpers/paginator.php, line 559]
2010-05-31 18:54:51 Notice: Notice (8): Undefined index:  limit in [/usr/share/php/cake/libs/view/helpers/paginator.php, line 557]
2010-05-31 18:54:51 Notice: Notice (8): Undefined index:  limit in [/usr/share/php/cake/libs/view/helpers/paginator.php, line 559]
2010-05-31 18:54:52 Notice: Notice (8): Undefined index:  limit in [/usr/share/php/cake/libs/view/helpers/paginator.php, line 557]
2010-05-31 18:54:52 Notice: Notice (8): Undefined index:  limit in [/usr/share/php/cake/libs/view/helpers/paginator.php, line 559]
2010-05-31 18:55:06 Notice: Notice (8): Undefined index:  created in [/var/www/household/app/controllers/main_controller.php, line 36]
2010-05-31 18:55:11 Notice: Notice (8): Undefined index:  created in [/var/www/household/app/controllers/main_controller.php, line 36]
2010-05-31 18:55:21 Notice: Notice (8): Undefined index:  created in [/var/www/household/app/controllers/main_controller.php, line 36]
2010-05-31 18:55:24 Notice: Notice (8): Undefined index:  created in [/var/www/household/app/controllers/main_controller.php, line 36]
2010-05-31 18:56:04 Notice: Notice (8): Undefined property: MainController::$paginator in [/var/www/household/app/controllers/main_controller.php, line 20]
2010-05-31 19:11:22 Notice: Notice (8): Undefined property: Record::$Category in [/var/www/household/app/controllers/records_controller.php, line 29]
2010-05-31 19:11:52 Notice: Notice (8): Undefined index:  Record in [/var/www/household/app/views/records/index.ctp, line 23]
2010-05-31 19:11:52 Notice: Notice (8): Undefined index:  Record in [/var/www/household/app/views/records/index.ctp, line 24]
2010-05-31 19:11:52 Notice: Notice (8): Undefined index:  Record in [/var/www/household/app/views/records/index.ctp, line 25]
2010-05-31 19:11:52 Notice: Notice (8): Undefined index:  Record in [/var/www/household/app/views/records/index.ctp, line 26]
2010-05-31 19:11:52 Notice: Notice (8): Undefined index:  Record in [/var/www/household/app/views/records/index.ctp, line 27]
2010-05-31 19:11:52 Notice: Notice (8): Undefined index:  Record in [/var/www/household/app/views/records/index.ctp, line 28]
2010-05-31 19:11:52 Notice: Notice (8): Undefined index:  Record in [/var/www/household/app/views/records/index.ctp, line 29]
2010-05-31 19:11:52 Notice: Notice (8): Undefined index:  Record in [/var/www/household/app/views/records/index.ctp, line 31]
2010-05-31 19:11:52 Notice: Notice (8): Undefined index:  Record in [/var/www/household/app/views/records/index.ctp, line 32]
2010-05-31 19:11:52 Notice: Notice (8): Undefined index:  Record in [/var/www/household/app/views/records/index.ctp, line 33]
2010-05-31 19:12:04 Notice: Notice (8): Undefined index:  Record in [/var/www/household/app/views/records/index.ctp, line 23]
2010-05-31 19:12:04 Notice: Notice (8): Undefined index:  Record in [/var/www/household/app/views/records/index.ctp, line 24]
2010-05-31 19:12:04 Notice: Notice (8): Undefined index:  Record in [/var/www/household/app/views/records/index.ctp, line 25]
2010-05-31 19:12:04 Notice: Notice (8): Undefined index:  Record in [/var/www/household/app/views/records/index.ctp, line 26]
2010-05-31 19:12:04 Notice: Notice (8): Undefined index:  Record in [/var/www/household/app/views/records/index.ctp, line 27]
